provider_id,name,type,Fields Description,
317,Nagar Palika Parishad Lalitpur,MUNICIPAL TAXES AND SERVICES,"Property Tax ID,House Number",
318,Pernem Municipal council,MUNICIPAL TAXES AND SERVICES,House Number,
319,Ponda Municipal Council,MUNICIPAL TAXES AND SERVICES,House Number,
320,Prayagraj Nagar Nigam,MUNICIPAL TAXES AND SERVICES,Computer code,
321,Puducherry UT (Local Bodies) -Property Tax,MUNICIPAL TAXES AND SERVICES,"Service Unique Number,Local Body",
322,Quepem Municipal council,MUNICIPAL TAXES AND SERVICES,House Number,
323,Rajkot Municipal Corporation,MUNICIPAL TAXES AND SERVICES,Property Number,
324,Sanguem Municipal council,MUNICIPAL TAXES AND SERVICES,House Number,
325,Sankhali Municipal council,MUNICIPAL TAXES AND SERVICES,House Number,
326,Shivamogga City Corporation,MUNICIPAL TAXES AND SERVICES,"Property Identification Number,Assessment Year(YYYY-YY)",
327,Uttarakhand Property Tax,MUNICIPAL TAXES AND SERVICES,Property ID,
328,Valpoi Municipal council,MUNICIPAL TAXES AND SERVICES,House Number,
329,Vasai Virar Municipal Corporation - Property,MUNICIPAL TAXES AND SERVICES,Property No,
2234,Axis Bank FASTag,FASTAG,"Vehicle Registration Number,Amount",
2235,Bank of Baroda - Fastag,FASTAG,Vehicle Number,
2236,Equitas FASTag Recharge,FASTAG,Vehicle Registration Number,
2237,Federal Bank - FASTag,FASTAG,Vehicle Registration Number ID,
2238,HDFC  Bank - Fastag,FASTAG,Vehicle Registration Number / Wallet ID,
2239,ICICI Bank Fastag,FASTAG,Vehicle Number,
2240,IDBI Bank Fastag,FASTAG,Vehicle Number / Wallet Number,
2241,IDFC FIRST Bank - FasTag,FASTAG,Vehicle Number,
2242,Indian Highways Management Company Ltd FASTag,FASTAG,Vehicle Registration Number,
2243,IndusInd Bank FASTag,FASTAG,Vehicle Registration Number,
2244,IOB Fastag,FASTAG,Vehicle Registration Number (VRN),
2245,Jammu and Kashmir Bank Fastag,FASTAG,Vehicle Registration Number/Wallet Number,
2246,Kotak Mahindra Bank - Fastag,FASTAG,Vehicle Registered Number,
2247,Paul Merchants,FASTAG,Vehicle Registration Number,
2248,Paytm Payments Bank FASTag,FASTAG,Vehicle Registration Number,
2249,"Transaction Analyst (T Wallet, TA Wallet and TAG-ITI Wallet)",FASTAG,Vehicle Number,
2250,Transcorp International Limited,FASTAG,Vehicle Number / Account Number,
2251,UCO Bank Fastag,FASTAG,Vehicle Registration Number/Wallet Number,
2252,Aadhar Housing Finance Limited,LOAN REPAYMENT,Application ID,
2253,AAVAS FINANCIERS LIMITED,LOAN REPAYMENT,Loan no,
2254,Adani Capital Pvt Ltd,LOAN REPAYMENT,Loan Number,
